Iteration,SSIM,PSNR,RMSE
500,0.8530933399901766,37.09170339983428,50.104127975788984
1000,0.8485542161535545,37.407746418848156,48.75151400890937
1500,0.8598107854721588,37.89160858384617,46.391401277629996
2000,0.8581096782235592,38.081389163952196,45.62699381330431
2500,0.857238718106362,38.01450466013337,45.688412184699246
3000,0.8645219374147491,38.263149788105245,44.42099628141322
3500,0.8629755187505026,38.30355338355685,44.231367197999916
4000,0.8653321704761664,38.47469154232503,43.53488780713571
4500,0.8558694765868399,38.447172808130794,43.84982702842682
5000,0.8649940436058723,38.7854607545683,42.63926549394055
5500,0.8657622166181261,38.79649410127522,42.96207700778335
6000,0.8671334606267453,38.54183283412123,43.09305563198761
6500,0.8710640060030257,38.9855280010515,41.56944267246829
7000,0.8631324234214565,38.48179668096648,43.78611373752419
7500,0.8705938021559673,39.02923702175294,41.96329182915714
8000,0.8641214520177398,38.68313084077647,42.714942395798666
8500,0.8695833123629764,38.94937547806375,42.09636099403078
9000,0.8686591272880021,38.83828006646956,42.24091555353119
9500,0.8686869341217629,38.97690404270255,42.44289277325576
10000,0.8705069400870344,39.04907950669498,41.543895855251805
10500,0.8658925554836093,38.70977695338134,42.808801609322686
11000,0.8731011178788037,39.34609250530367,40.53507406196079
11500,0.8726018173367686,39.30650092095569,40.88004545781288
12000,0.869752763316833,38.904213376656934,41.8844639593006
12500,0.8699019157533445,38.9854073394445,41.716990347788084
13000,0.8713609052415924,39.32296263184893,40.860670258065916
13500,0.8674176686626841,38.759410381338334,42.8152067313841
14000,0.8679890557202948,39.00985687152733,41.76699563026607
14500,0.8665739708821282,39.02147320541714,41.93389075258005
15000,0.8665305784056462,38.952254391427836,41.7967277249786
15500,0.8687490904895623,39.11428147198213,41.21229996539426
16000,0.8708799411739057,39.12171012796589,41.360242396592795
16500,0.8682442657810909,39.14851337074818,40.804070141653845
17000,0.8702261526184136,39.261484494749624,41.156013401471206
17500,0.8679526452184235,38.95854794194228,41.65001887087047
18000,0.8672149126920773,38.99311694603503,41.988716087728406
18500,0.8699352347305589,39.141173467364105,41.324337041517204
19000,0.8678767424319128,38.94781337053502,41.910646302441755
19500,0.8697798738377441,39.03848919785277,41.4826188256852
20000,0.8738624721053398,39.38329342833145,40.411691408190926
20500,0.871392509606168,39.2545093070926,40.65441792774185
21000,0.872022883559471,39.1531005444674,41.167253027170844
21500,0.8687296534921927,39.16665345581161,41.11186345773666
22000,0.8723636521704601,39.285220143541636,40.99150739790896
22500,0.8730533884076385,39.48844522054434,40.127986493168315
23000,0.872440820242312,39.23478974694156,40.72950349272688
23500,0.8731693533179092,39.22757364099962,40.70424591548786
24000,0.865980084620548,38.88409924919107,42.135469845777266
24500,0.8793981804591401,39.59641679902252,39.24546216180721
25000,0.872331559170917,39.0565705800723,41.01308636558375
25500,0.870173810116856,39.02061261733692,41.45825645330924
26000,0.8714532872048434,39.232939467841,41.10482052792251
26500,0.8698893698583318,39.16285546280884,41.121758621565824
27000,0.87817883716512,39.65304358989513,39.415444469767216
27500,0.8743366447136998,39.50024082653787,40.04395233794427
28000,0.8761424806029345,39.55016536716701,40.084331231783295
28500,0.868346114154238,39.01100423663278,41.54459822772938
29000,0.8726104502293283,39.084119602076605,41.293214200519046
29500,0.8677907663459952,38.90098182438968,42.00431551567219
30000,0.8773002726197131,39.45455137076693,39.93039729355176
30500,0.8731239350098824,39.25292727466346,40.80486873925675
31000,0.8695051574164362,38.888915703048184,41.75614007798688
