Iteration,SSIM,PSNR,RMSE
500,0.5617859095067925,19.433953002250067,353.66311351217723
1000,0.5678972789176726,19.29338919230584,360.2337547337441
1500,0.5528087807413113,19.756672359590716,353.18466963553897
2000,0.5693400107248899,19.451970508290945,358.3076700771807
2500,0.5809133130959996,19.508540296414658,354.3144918003724
3000,0.578106284901846,19.436064909198276,354.1971498380178
3500,0.59447831651751,19.6600532684199,348.09571861244837
4000,0.5991440918104723,19.837797100717204,341.68873649133945
4500,0.5794628472301832,19.42947370616748,352.06325509870067
5000,0.594170493387177,19.704994530171824,348.3918507221652
5500,0.5913129007015945,19.84312168474277,345.7927161882331
6000,0.5909970948067365,19.682499442932823,353.0854214560243
6500,0.5963987795299036,19.886857585189244,341.2817994306568
7000,0.6013455408354726,19.979957108003028,341.81203070578147
7500,0.5825412214295045,19.390052786213,357.186817760774
8000,0.5991884089632297,19.598865728737938,353.2718212818792
8500,0.5991591996213573,19.71177818293127,347.17158943389035
9000,0.5921560504263806,19.973809322499076,336.7512806617361
9500,0.6085128764422802,19.995545188416862,339.5884925396839
10000,0.5845026313748771,19.608610623250584,353.81150850405817
10500,0.5978051101429007,19.817328411662526,346.34767852667795
11000,0.5966254118532633,19.576293886432694,353.5640566232486
11500,0.5794678517542305,19.315003665053094,360.0281638254101
12000,0.589285894080548,19.61360597615197,346.7246938424555
12500,0.5873838654559598,19.440165488880673,361.8832967547058
13000,0.5880254962871987,19.427696076537778,359.14512867741746
13500,0.5921075352123155,19.891499306929944,344.8999762355022
14000,0.6010352670002818,19.849666956656257,343.5744053466204
14500,0.5972653472506746,19.798523131782126,342.76080856196626
15000,0.6067997741397303,19.779340163390167,346.0530474714309
15500,0.5958059600872356,19.698158619384895,350.483347410965
16000,0.593795618397679,19.832125167621214,341.61712196091963
16500,0.5988087437151778,19.638076989883047,351.02633035904
17000,0.5990504421737315,19.740925288171642,352.13686489824
17500,0.5936436044656759,19.586123224646517,353.35863214047396
18000,0.6024099769686431,19.87809432091095,344.0892335380877
18500,0.5965749167238565,19.813813866379036,346.1308585245564
19000,0.5990650262511085,19.762786127246713,347.64434762725296
19500,0.5938073944277971,19.640667337772673,350.901313908318
20000,0.6151781202944041,20.169790155457026,335.61499143619073
20500,0.6098383051556877,20.127017342389887,336.8694375279252
21000,0.5964781336738993,19.796653353397325,347.98971956143674
21500,0.6001796148893943,19.69401183083714,346.84050333292566
22000,0.6105530361186874,20.01679072410213,339.83909937113066
22500,0.5945711897996897,19.50719405068011,361.9105406011279
23000,0.6085710636751712,19.972622313951575,335.3364029970065
23500,0.6033264483905236,19.926496752776792,344.87813994500715
24000,0.5840179491305164,19.421892040261092,363.41783978827453
24500,0.6049791284339955,19.868365630599357,345.33986260241335
25000,0.5986573894133141,19.746518818531992,348.25560774130014
25500,0.6108388478411139,20.0896601173429,340.28887208658006
26000,0.5880533359602192,19.476216003518637,359.5619443863851
26500,0.60181721953559,19.674916026620497,351.4580425108862
27000,0.6110573252316659,20.02815167426722,339.5105103754611
27500,0.5942116309887571,19.444875355949932,356.1059231708059
28000,0.5952978060413384,19.72659762011197,346.30679372946537
28500,0.5998102538101587,19.83079591783248,350.1230300091814
29000,0.6001877525044947,19.68586188513852,345.71467464115557
29500,0.6007334501636923,19.925137858517324,343.91320464710356
30000,0.606601902632809,20.047712837095702,340.3979200185698
30500,0.5971927046246436,19.815548598691596,344.60084531057066
31000,0.5863304966584058,19.404131064016457,362.3474088380355
31500,0.6166355183167838,20.0429713250062,338.6930475597138
32000,0.602950607549358,19.787240229581208,348.67922301620325
32500,0.5935647224619159,19.582109554388865,352.19493979353626
33000,0.6037987698067081,19.906318822508815,343.26732668888934
33500,0.606863564376784,19.812626672537714,346.9158640306582
34000,0.593704991465492,19.65810735419182,350.4944487668678
34500,0.6136764082283552,19.99145738777447,339.71521052558234
35000,0.6093428273841751,20.08769325456798,335.9515507303431
35500,0.6097314895391365,19.90921482731916,344.1448932167694
36000,0.6062705698184248,19.84092997043364,347.2957385289728
36500,0.6034915731324694,19.839017002371296,349.4861218200059
37000,0.590395217672798,19.717288005054126,350.41905517583166
37500,0.6026557553474995,19.879698017828574,344.90802092734737
38000,0.6038250137254727,19.93464575845133,339.15062066253665
38500,0.6071466595810795,19.943858640800414,342.8696985550957
39000,0.6115273359940332,20.075841894240007,338.76564861740013
39500,0.6013145814828411,19.69481078058038,349.15566522734997
40000,0.5993998367760567,19.871874622456534,346.2700734656458
40500,0.6009815966297639,19.879478724469315,346.2567991795605
41000,0.6101939060188672,20.06689123467268,339.84492407053995
41500,0.6012188451249498,19.711709169439537,351.523199818845
42000,0.6040019635211565,19.67528664984346,352.783842831362
42500,0.6078965844148906,19.959266807698377,342.45714947850564
43000,0.6065503355958733,20.013307731846307,339.6834065754477
43500,0.6009547892296151,19.84687381132263,344.66666712786486
44000,0.5921180023453536,19.545997593906527,353.7259349668869
44500,0.6004747325105979,19.786393920450166,345.4026453764057
45000,0.6102649134140558,20.081351766405223,336.3387567660008
